Id,Timestamp,Version,Provider,Collection
5c707152081a2a6caf043300,1550872882,1,corva,torque-and-drag.hookload-trend
Activity,hole_depth,is_extended
Washing Down,19879.1,true

Id,hole_size,type,id
5c6f294b87a6c94f18943260,8.5,DrillString,5


start_timestamp
1550825331

end_timestamp,start_timestamp
1550825330,1550823996
start_timestamp,end_timestamp
1550823996,1550872882


Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.1,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
1550852691,12476.3,189.6,0.01,0,0,75
1550851350,12529,195.55,0.78,0,0,24
1550850671,12530.2,195.2,0.01,0,0,30
1550851421,12530.9,197.8,0.44,0,0,24
1550851180,12531.8,197.2,0.01,0,0,36
1550851135,12531.8,197.35,0.01,0,0,30
1550851061,12532.4,196.8,0.01,0,0,33
1550850792,12533.5,196.1,0.01,0,0,51
1550850722,12534.5,193.1,0.01,0,0,30
1550855787,12661.05,193.6,0.01,0,0,48
1550856024,12741.5,194.4,0.01,0,0,66
1550856214,12841.55,195.4,0.01,0,0,132
1550856395,12919.05,199.1,0.01,0,0,96
1550856433,12972.3,196.85,0.01,0,0,78
1550856628,13021.85,199.85,0.01,0,0,90
1550856841,13109.5,202.1,0.01,0,0,72
1550857090,13209.1,202.8,0.01,0,0,108
1550857285,13291.7,204.7,0.01,0,0,66
1550857486,13391.35,203.8,0.01,0,0,144
1550857676,13483.9,205.6,0.01,0,0,84
1550857881,13575.7,207.6,0.01,0,0,102
1550858090,13665.1,208.4,0.01,0,0,114
1550858296,13766.65,211.25,0.01,0,0,78
1550858512,13858.7,212.5,0.01,0,0,90
1550858771,13981.1,211.3,0.01,0,0,96
1550858922,14062.4,211,0.01,0,0,84
1550859311,14111.1,214.4,0.01,0,0,18
1550859675,14126.95,214,0.01,0,0,30
1550859723,14147.7,212.1,0.01,0,0,84
1550860095,14186.7,209.7,0.01,0,0,84
1550860452,14242.65,211.05,0.02,0,0,54
1550862924,14299.3,209.1,0.01,0,0,24
1550863229,14353.15,210.1,0.01,0,0,72
1550863393,14448.1,208.5,0.01,0,0,84
1550863558,14538.8,209,0.01,0,0,96
1550863703,14631.5,209.4,0.01,0,0,90
1550863857,14724.4,209.15,0.01,0,0,66
1550864005,14821.7,205.7,0.01,0,0,126
1550864140,14921.4,201.7,0.01,0,0,126
1550864300,15002.8,202.7,0.01,0,0,69
1550864483,15104.25,204.75,0.01,0,0,84
1550864704,15197.3,203.1,0.01,0,0,102
1550864872,15291.65,202.95,0.01,0,0,84
1550865038,15383.35,200.75,0.01,0,0,72
1550865205,15482.55,199.85,0.01,0,0,66
1550865370,15572.3,200.9,0.01,0,0,84
1550865547,15665.1,202.6,0.01,0,0,72
1550865710,15759.85,200.55,0.01,0,0,84
1550865890,15855.5,196.8,0.01,0,0,72
1550866041,15948.2,196.8,0.01,0,0,84
1550866183,16042.8,196,0.01,0,0,120
1550866343,16134,197,0.01,0,0,72
1550866502,16231.1,194.9,0.01,0,0,96
1550866644,16321,193.7,0.01,0,0,114
1550866784,16410.5,193.6,0.01,0,0,114
1550866934,16504.95,192.15,0.01,0,0,108
1550867079,16600,190.2,0.01,0,0,111
1550867251,16697,189.6,0.01,0,0,120
1550867397,16791.7,190.05,0.01,0,0,120
1550867533,16883.8,189.3,0.01,0,0,120
1550867674,16974.4,188.15,0.01,0,0,120
1550869210,17072.85,202.2,0.01,0,0,120
1550869343,17164.7,202.1,0.01,0,0,114
1550869484,17255.55,201.8,0.01,0,0,96
1550869631,17354.35,199.6,0.01,0,0,120
1550869773,17444.55,199.85,0.01,0,0,102
1550869914,17545.65,199.05,0.01,0,0,120
1550870060,17640.7,197.8,0.01,0,0,120
1550870191,17733.95,197.7,0.01,0,0,114
1550870331,17827.9,196,0.01,0,0,120
1550870458,17913.8,195.3,0.01,0,0,102
1550870596,18014.1,194.3,0.01,0,0,96
1550870726,18112.5,194.2,0.01,0,0,126
1550870861,18206,193.3,0.01,0,0,126
1550870992,18300.8,192.25,0.01,0,0,126
1550871146,18382.1,192.2,0,0,0,114
1550871237,18414.4,198.5,0.01,0,0,42
1550871187,18418.2,182.7,0.01,0,0,39
1550871267,18438.3,191.9,0.01,0,0,72
1550871378,18460.3,188.5,0.01,0,0,48
1550871551,18463.7,213,0.01,0,0,36
1550871447,18469.3,195.7,0.01,0,0,45
1550871510,18471.8,188.7,0.01,0,0,42
1550871568,18472.7,192.4,0.01,0,0,54
1550871605,18487.9,147.5,0,0,0,66

Wash Down Timestamp,Wash Down Measured Depth,Wash Down Hookload,Wash Down Torque,rotary_rpm,mud_flow_in,string_velocity
1550853291,12531.6,194.4,0.04,0,350,12
1550854461,12549.95,191.9,0.59,0,350,6
1550854562,12561.55,193.5,0.52,0,350,6
1550872162,18451.9,206,0.11,0,174.6,24
1550872201,18467.4,196,0.11,0,174.6,48
1550872326,18468.3,215.7,0.19,0,174.6,12
1550872266,18473.4,203.5,0.11,0,174.6,30

Rotaryoff Bottom Timestamp,Rotaryoff Bottom Measured Depth,Rotaryoff Bottom Hookload,Rotaryoff Bottom Torque,rotary_rpm,mud_flow_in,string_velocity
1550862151,14283,223.3,6.66,99.9,530.5,0

Asset Id,company_id
5318,29
