Id,Timestamp,Version,Provider,Collection
5c6fee8287a6c928b9d94983,1550839401,1,corva,torque-and-drag.hookload-trend
Activity,hole_depth
In Slips,26052

Id,hole_size,type,outer_diameter
5c6cad79b337d74f5029f673,8.5,CasingString,5.5


start_timestamp
1550626339
start_timestamp,end_timestamp
1550626339,1550839401


Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
1550669052,8536.6,96.7,0,0.1,0,156
1550669160,8580.65,96.6,0,0.1,0,162
1550669268,8624,97.4,0,0.1,0,159
1550669382,8667.8,98.7,0,0.1,0,132
1550669489,8712.5,97.6,0,0.1,0,150
1550669603,8757.5,96.8,0,0.1,0,156
1550669766,8802,98.1,0,0.1,0,153
1550669872,8844.7,98.1,0,0.1,0,159
1550669983,8891,98,0,0.1,0,153
1550670090,8935.55,99.3,0,0.1,0,102
1550670200,8977.1,99.9,0,0.1,0,144
1550670322,9021.1,99.6,0,0.1,0,156
1550670442,9069.3,102.7,0,0.1,0,123
1550670562,9110.9,101.35,0,0.1,0,108
1550670679,9157.2,100.8,0,0.1,0,135
1550670778,9203.45,101.35,0,0.1,0,132
1550670889,9245,101.3,0,0.1,0,135
1550670993,9289.7,101.2,0,0.1,0,156
1550671106,9334.9,101.6,0,0.1,0,132
1550671218,9378,100.95,0,0.1,0,162
1550671337,9421.9,101.1,0,0.1,0,87
1550671457,9465.85,101.85,0,0.1,0,90
1550671577,9514.4,103.8,0,0.1,0,84
1550671697,9552.75,103.25,0,0.1,0,114
1550671817,9597.75,101.55,0,0.1,0,132
1550671929,9640.9,101.4,0,0.1,0,147
1550672056,9685.8,100.8,0,0.1,0,138
1550672171,9728.8,101.2,0,0.1,0,126
1550672349,9775.55,101.45,0,0.1,0,150
1550672457,9818.6,101.45,0,0.1,0,150
1550672565,9863.6,101,0,0.1,0,162
1550672685,9907.15,101.4,0,0.1,0,96
1550672798,9950.6,101.65,0,0.1,0,144
1550672919,10001.8,102.2,0,0.1,0,45
1550673050,10039.6,100.7,0,0.1,0,159
1550673175,10085.3,101.4,0,0.1,0,114
1550673291,10127.2,100.15,0,0.1,0,138
1550673415,10172.1,102.2,0,0.1,0,102
1550673529,10214.6,99.8,0,0.1,0,120
1550673640,10259.55,98.45,0,0.1,0,156
1550673775,10304.15,99.65,0,0.1,0,156
1550673899,10350.3,99.2,0,0.1,0,144
1550674023,10393.6,97.5,0,0.1,0,138
1550674133,10438.6,98,0,0.1,0,159
1550674323,10482.6,97.4,0,0.1,0,156
1550674443,10525.7,97,0,0.1,0,150
1550674570,10569.1,97.5,0,0.1,0,168
1550674720,10613.6,97.6,0,0.1,0,93
1550674833,10661.15,98.35,0,0.1,0,144
1550675037,10703.7,97.6,0,0.1,0,144
1550675149,10749.05,97.75,0,0.1,0,162
1550675250,10792.75,96.95,0,0.1,0,156
1550675379,10836.7,96.7,0,0.1,0,162
1550675498,10882,96.3,0,0.1,0,162
1550675617,10921.9,99.2,0,0.1,0,93
1550675640,10939.95,98.1,0,0.1,0,102
1550675756,10969.3,97.25,0,0.1,0,132
1550675901,11011.05,97.95,0,0.1,0,114
1550676028,11059.65,95.45,0,0.1,0,162
1550676148,11103.5,94.8,0,0.1,0,156
1550676268,11147,96.5,0,0.1,0,156
1550676380,11191.1,94.95,0,0.1,0,150
1550676483,11236.8,95.2,0,0.1,0,159
1550676594,11281,94.7,0,0.1,0,159
1550676698,11325.35,94.65,0,0.1,0,156
1550676806,11368.7,94,0,0.1,0,150
1550676918,11417.1,95.4,0,0.1,0,138
1550677025,11457.8,94.6,0,0.1,0,162
1550677126,11504.5,94.95,0,0.1,0,150
1550677258,11547.8,94,0,0.1,0,144
1550677355,11590.5,94.7,0,0.1,0,153
